source_rank,weight_scale,timeframe,fast_days,mid_days,slow_days,long_days,bear_on,ret_slow_max,ret_mid_max,short_sma_mult,fast_sma_mult,rebound_ret_max,short_target_vol,short_cap,max_short,short_base,short_conf,trend_on,ret_slow_min,ret_mid_min,long_sma_mult,long_target_vol,long_cap,max_long,vol_ceiling,vol_floor_q,vol_floor_min,transaction_cost_bps,pass_target,score,max_abs_weight,train_annual_return,train_total_return,train_sharpe,train_max_drawdown,train_avg_abs_exposure,train_avg_turnover,validation_annual_return,validation_total_return,validation_sharpe,validation_max_drawdown,validation_avg_abs_exposure,validation_avg_turnover,locked_test_annual_return,locked_test_total_return,locked_test_sharpe,locked_test_max_drawdown,locked_test_avg_abs_exposure,locked_test_avg_turnover
1,1.75,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,2.196842922442415,1.75,0.006176178257966569,0.03129949965603407,0.11850664896088323,-0.09790811346694239,0.03890405483396096,0.010575739265873147,0.2536169345883805,0.2297803844051589,1.5713939172500193,-0.05796513359699884,0.0764570295227284,0.013231835501252568,1.1968709150191317,0.3264016509850691,3.746696200870055,-0.03762233948116389,0.09672536620474545,0.017545282520446435
2,2.0,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,2.1845354640165313,1.7,-0.051890359270130304,-0.23411068455395578,-0.4539913512140911,-0.3192944449485856,0.03179164386060938,0.011165845648604266,0.3195571645408284,0.2888431265552194,1.738425410901753,-0.05652337327199719,0.056836327345309384,0.015269461077844312,1.1697643254607009,0.32050439768527306,3.795895466267192,-0.03654741549598772,0.0648854961832061,0.017302798982188294
1,1.6,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.9447116910634765,1.6,0.005877548442855041,0.029768301219866178,0.11850664896088327,-0.08979071701584862,0.03556942156247861,0.009669247328798309,0.23061778158066382,0.20911856113987537,1.5713939172500193,-0.05308450359869821,0.06990356984935168,0.012097678172573777,1.0572539284736573,0.29550864352245476,3.746696200870054,-0.03439756752563561,0.08843462053005299,0.01604140116155103
2,1.75,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,1.813394201973133,1.4875,-0.044964131965455345,-0.2056920090578438,-0.4539913512140912,-0.2846178586001168,0.027817688378033206,0.009770114942528737,0.2764936230532056,0.2503002726718828,1.738425410901753,-0.04957470907968098,0.04973178642714571,0.013360778443113772,0.9741851990475345,0.2764856244085139,3.795895466267192,-0.031978988558989396,0.056774809160305355,0.015139949109414758
1,1.5,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.7846897914018822,1.5,0.005654326740796911,0.028624939932303306,0.11850664896088331,-0.08435084362663237,0.033346332714823686,0.009064919370748414,0.21541322122015694,0.1954412099332843,1.5713939172500193,-0.04982165797252558,0.06553459673376719,0.011341573286787917,0.9687761473923002,0.2752292779272023,3.746696200870054,-0.032247719555283494,0.0829074567469247,0.01503881358895409
1,1.4,4h,3.0,10.0,30.0,90.0,0.56,-0.08,-0.04,0.98,1.0,0.08,0.35,1.0,1.0,0.65,0.55,0.68,0.0,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.6308582324549987,1.4,0.0054118122249329215,0.02738391074072566,0.11850664896088318,-0.07888828592699093,0.031123243867168773,0.008460591412698518,0.20031189340455535,0.18184233039387587,1.5713939172500186,-0.046551528330708414,0.061165623618182716,0.010585468401002053,0.8838236565117887,0.25520041657946924,3.7466962008700553,-0.03009787158493127,0.07738029296379635,0.014036226016357149
4,2.0,4h,3.0,10.0,30.0,90.0,0.56,-0.08,0.01,1.02,1.0,0.0,0.7,0.7,0.7,0.65,1.0,0.68,0.08,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.6068021928802398,1.4,-0.020490066771115756,-0.09843933318178277,-0.15130335224491778,-0.2772152130956004,0.047290640394088666,0.015945995256340082,0.2566383278867992,0.2324923186949286,1.6839793160904952,-0.049370243414022186,0.08502994011976048,0.016966067864271458,0.8421275784154583,0.24515762455110535,3.5787346781840523,-0.030097871584931157,0.08371501272264631,0.015776081424936386
2,1.6,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,1.6050287289973424,1.36,-0.040866379429122635,-0.18848550673312348,-0.45399135121409095,-0.26313702402003203,0.025433315088487504,0.008932676518883414,0.2510821885920602,0.2275048255364709,1.738425410901753,-0.04538958543758398,0.04546906187624751,0.01221556886227545,0.864806037985927,0.25063775467777183,3.7958954662671913,-0.02923793239679018,0.051908396946564885,0.013842239185750636
2,1.5,4h,3.0,10.0,30.0,90.0,0.8,-0.08,0.01,0.98,1.0,0.08,0.9,0.85,0.85,0.35,1.0,0.68,0.08,0.01,1.04,0.06,0.0,0.0,0.45,0.5,0.15,6.0,True,1.4717910327465975,1.275,-0.03815901338912908,-0.17695455994180875,-0.4539913512140912,-0.24852976540945626,0.023843732895457034,0.008374384236453201,0.23431933911566571,0.21244614027071718,1.738425410901753,-0.04259285617812947,0.04262724550898203,0.011452095808383233,0.7950335954896708,0.23363787200020836,3.7958954662671927,-0.027410561621990848,0.04866412213740458,0.012977099236641221
4,1.75,4h,3.0,10.0,30.0,90.0,0.56,-0.08,0.01,1.02,1.0,0.0,0.7,0.7,0.7,0.65,1.0,0.68,0.08,0.0,1.02,0.16,0.1,0.1,0.45,0.1,0.2,6.0,True,1.3530564490577728,1.2249999999999999,-0.017387124844742252,-0.0840526469662406,-0.1513033522449176,-0.24620353124485883,0.041379310344827586,0.013952745849297572,0.22256626726261763,0.20187757347711965,1.6839793160904963,-0.04325675848796173,0.07440119760479041,0.014845309381237523,0.7095096976014059,0.21221195576600538,3.5787346781840537,-0.02633563763681479,0.07325063613231553,0.013804071246819335
